size, n_proc_tot, it, total_time, compute_time, comm_time
20000  32   1000 139.526936054230 134.501257499000  5.025078917000
20000  64   1000 70.516297101974 67.110289031000  3.405459740000
20000  128   1000 41.123080015182 33.614052083000  7.508456484000
20000  256   1000 18.662080049515 16.832216095000  1.829346472000
40000  32   1000 555.990918874741 549.766902218000  6.223448973000
40000  64   1000 279.884440898895 274.526204739000  5.357646280000
40000  128   1000 141.258567094803 137.228349667000  4.029665436000
40000  256   1000 71.670119047165 68.636387448000  3.033182283000
28000  32   1000 273.390738964081 268.609975816000  4.779992481001
28000  64   1000 137.531427145004 134.086073407000  3.444610619000
28000  128   1000 69.655452013016 66.946972654000  2.707725970000
28000  256   1000 35.568727016449 33.432951298000  2.135064309000
