         N, n_proc_tot, comm_total, compute_total
OpenBLAS 1000  64    0.013333837000  0.003407760000
cuBLAS   1000  8    0.196934127808  0.134985763550
OpenBLAS 5000  64    0.092200607000  0.264787713000
cuBLAS   5000  8    0.278253997803  0.006801568031
OpenBLAS 10000  64    0.565811487000  1.816147078000
cuBLAS   10000  8    0.467533569336  0.040463138580
OpenBLAS 15000  64    1.082074526000  5.883346319000
cuBLAS   15000  8    0.728189025879  0.134177062988
OpenBLAS 20000  64    8.023868152000 13.432876445000
cuBLAS   20000  8    1.209973022461  0.314187347412
OpenBLAS 30000  64    4.075159478000 44.812643078000
cuBLAS   30000  8    2.460961425781  1.048437622070
OpenBLAS 35000  64    8.090728378000 70.817396568000
cuBLAS   35000  8    3.431658447266  1.471185302734
OpenBLAS 40000  64    6.241503370000 104.324510525000
cuBLAS   40000  8    4.326828125000  2.170415039063
OpenBLAS 45000  64    8.972146853000 150.494624054000
cuBLAS   45000  8    5.255593261719  3.229841308594
OpenBLAS 50000  64    9.410490875000 204.612253690000
cuBLAS   50000  8    6.349545410156  4.427522949219
MPI      1000  64    0.011437025000  0.028456135000
MPI      5000  64    0.429757680000  6.405080973000
MPI      10000  64    1.213778071000 57.575278271000
MPI      15000  64    4.877025095000 242.924579296000
MPI      20000  64   11.216304417000 569.596396687000
