         N, n_proc_tot, comm_total, compute_total
OpenBLAS 1000  32    0.002358929000  0.005168937000
cuBLAS   1000  4    0.169706039429  0.185033920288
OpenBLAS 5000  32    0.089390345000  0.484340593000
cuBLAS   5000  4    0.230418045044  0.010580672264
OpenBLAS 10000  32    0.336305200000  3.501416636000
cuBLAS   10000  4    0.496436523437  0.079229629517
OpenBLAS 15000  32    0.720579046000 11.445481365000
cuBLAS   15000  4    0.890288208008  0.248127655029
OpenBLAS 20000  32    1.395302217000 26.392270549000
cuBLAS   20000  4    1.452406982422  0.562367126465
OpenBLAS 30000  32    3.105097973000 88.073647260000
cuBLAS   30000  4    2.887105957031  1.879321899414
OpenBLAS 35000  32    5.839011478000 139.055727305000
cuBLAS   35000  4    3.828113037109  2.809243408203
OpenBLAS 40000  32    8.445505154000 205.271450197000
cuBLAS   40000  4    4.812050781250  4.545769531250
OpenBLAS 45000  32   10.579431816000 294.389690073000
cuBLAS   45000  4    5.841073242188  6.817545898438
OpenBLAS 50000  32   13.215864454000 402.682175774000
cuBLAS   50000  4    7.230415039062  9.994479492187
MPI      1000  32    0.003935448000  0.058100837000
MPI      5000  32    0.302319207000 13.599787273000
MPI      10000  32    2.024193182000 112.754275536000
MPI      15000  32    6.759770323000 498.879925306000
MPI      20000  32   10.232678852000 1133.885674024000
