         N, n_proc_tot, comm_total, compute_total
MPI      1000  128    0.035144240000  0.014333678000
OpenBLAS 1000  128    0.044940902000  0.001930546000
cuBLAS   1000  128    2.377960937500  0.262477416992
MPI      5000  128    0.628435035000  3.952831530000
OpenBLAS 5000  128    0.572723094000  0.155118751000
cuBLAS   5000  128    2.393394287109  0.343113739014
MPI      10000  128    1.805349256000 29.285430759000
OpenBLAS 10000  128    1.149686085000  1.068336727000
cuBLAS   10000  128    3.240165527344  0.085117805481
MPI      15000  128    4.577311377000 126.697822916000
OpenBLAS 15000  128    1.587493517000  3.268479535000
cuBLAS   15000  128    3.674782714844  0.270164215088
MPI      20000  128   10.217926693000 281.686030638000
OpenBLAS 20000  128    2.692506408000  7.269448548000
cuBLAS   20000  128    4.571020507813  0.474458618164
MPI      25000  128   28.044680582000 600.426053678000
OpenBLAS 25000  128   16.069114134000 14.031840601000
cuBLAS   25000  128    8.630824218750  0.384898315430
MPI      30000  128   47.858616395999 1197.904702826000
OpenBLAS 30000  128   19.559922287000 23.577412516000
cuBLAS   30000  128   11.317408203125  0.365181640625

