         N, n_proc_tot, comm_total, compute_total
MPI      1000  256    0.026907116000  0.007164789000
OpenBLAS 1000  256    0.025922544000  0.001868587000
cuBLAS   1000  32    1.175585693359  0.078488311768
MPI      5000  256    0.350221881000  1.799336196000
OpenBLAS 5000  256    0.107617293000  0.101317635000
cuBLAS   5000  32    0.250934783936  0.036464290619
MPI      10000  256    1.136381701000 15.732308924000
OpenBLAS 10000  256    0.473476418000  0.647191468000
cuBLAS   10000  32    0.494984710693  0.016456928253
MPI      15000  256    4.383172946000 61.277440491000
OpenBLAS 15000  256    2.039367264000  1.893929468000
cuBLAS   15000  32    0.829913940430  0.041376739502
MPI      20000  256    8.382808177000 142.836417566000
OpenBLAS 20000  256    2.811297275000  4.456695987000
cuBLAS   20000  32    1.214859375000  0.087643363953
MPI      30000  256   36.420954205001 584.231326033000
OpenBLAS 30000  256    3.722980023000 14.062402093000
cuBLAS   30000  32    2.520757568359  0.287110870361
MPI      35000  256   41.401570215999 1228.409915745999
OpenBLAS 35000  256    4.981314819000 21.019951775000
cuBLAS   35000  32    3.186430908203  0.471890167236
MPI      40000  256   58.208720514002 2219.023228973000
OpenBLAS 40000  256    7.716962155000 30.550246060000
cuBLAS   40000  32    4.320833984375  0.630800170898
MPI      45000  256   116.357343357999 3702.961725663000
OpenBLAS 45000  256   11.395049979000 40.237821827000
cuBLAS   45000  32    5.220248535156  0.902232299805
