size, n_proc_tot, it, total time, compute time, comm time
20000  4   1000 15.792946100235  7.029930434655  8.543331535999
20000  8   1000  6.167609930038  4.293189130258  1.754510486964
20000  16   1000  3.015253067017  1.251104952302  1.701607941650
20000  32   1000  1.860846996307  0.885237202514  0.940177439246
40000  8   1000 38.894875049591 34.090663081966  4.366048965603
40000  16   1000 17.819227933884 11.605358302128  5.993133737706
40000  32   1000  7.810469865799  5.197461547796  2.494697012939
28000  4   1000 37.188713788986 24.552709210664 12.202891916968
28000  8   1000 16.718944787979 10.947235320229  5.556053001434
28000  16   1000  6.760032892227  4.848007779103  1.802960122004
28000  32   1000  3.031679868698  1.142280306201  1.833139717113
